group,motif,count,denominator,pct
books_1_13,proposition_any,0,5,0.0
books_1_13,proposition_use_application,0,5,0.0
books_1_13,proposition_selection_extraction,0,5,0.0
books_1_13,proposition_ordering_reduction,0,5,0.0
books_1_13,proposition_explanation_commentary,0,5,0.0
books_1_13,demonstration_any,2,5,40.0
books_1_13,demonstration_easy_clear,2,5,40.0
books_1_13,demonstration_new,0,5,0.0
books_1_13,demonstration_order_method,0,5,0.0
books_1_13,demonstration_adapted_to_capacity,0,5,0.0
books_1_13,proposition_and_demonstration,0,5,0.0
books_1_6,proposition_any,1,81,1.2
books_1_6,proposition_use_application,1,81,1.2
books_1_6,proposition_selection_extraction,0,81,0.0
books_1_6,proposition_ordering_reduction,0,81,0.0
books_1_6,proposition_explanation_commentary,0,81,0.0
books_1_6,demonstration_any,19,81,23.5
books_1_6,demonstration_easy_clear,2,81,2.5
books_1_6,demonstration_new,0,81,0.0
books_1_6,demonstration_order_method,0,81,0.0
books_1_6,demonstration_adapted_to_capacity,2,81,2.5
books_1_6,proposition_and_demonstration,1,81,1.2
books_1_6_plus_solids,proposition_any,14,39,35.9
books_1_6_plus_solids,proposition_use_application,8,39,20.5
books_1_6_plus_solids,proposition_selection_extraction,0,39,0.0
books_1_6_plus_solids,proposition_ordering_reduction,0,39,0.0
books_1_6_plus_solids,proposition_explanation_commentary,9,39,23.1
books_1_6_plus_solids,demonstration_any,5,39,12.8
books_1_6_plus_solids,demonstration_easy_clear,4,39,10.3
books_1_6_plus_solids,demonstration_new,3,39,7.7
books_1_6_plus_solids,demonstration_order_method,4,39,10.3
books_1_6_plus_solids,demonstration_adapted_to_capacity,0,39,0.0
books_1_6_plus_solids,proposition_and_demonstration,0,39,0.0
near_complete_or_expanded,proposition_any,6,67,9.0
near_complete_or_expanded,proposition_use_application,0,67,0.0
near_complete_or_expanded,proposition_selection_extraction,1,67,1.5
near_complete_or_expanded,proposition_ordering_reduction,1,67,1.5
near_complete_or_expanded,proposition_explanation_commentary,0,67,0.0
near_complete_or_expanded,demonstration_any,22,67,32.8
near_complete_or_expanded,demonstration_easy_clear,6,67,9.0
near_complete_or_expanded,demonstration_new,1,67,1.5
near_complete_or_expanded,demonstration_order_method,2,67,3.0
near_complete_or_expanded,demonstration_adapted_to_capacity,0,67,0.0
near_complete_or_expanded,proposition_and_demonstration,2,67,3.0
near_complete_or_expanded_enunciations,proposition_any,2,7,28.6
near_complete_or_expanded_enunciations,proposition_use_application,0,7,0.0
near_complete_or_expanded_enunciations,proposition_selection_extraction,0,7,0.0
near_complete_or_expanded_enunciations,proposition_ordering_reduction,0,7,0.0
near_complete_or_expanded_enunciations,proposition_explanation_commentary,0,7,0.0
near_complete_or_expanded_enunciations,demonstration_any,0,7,0.0
near_complete_or_expanded_enunciations,demonstration_easy_clear,0,7,0.0
near_complete_or_expanded_enunciations,demonstration_new,0,7,0.0
near_complete_or_expanded_enunciations,demonstration_order_method,0,7,0.0
near_complete_or_expanded_enunciations,demonstration_adapted_to_capacity,0,7,0.0
near_complete_or_expanded_enunciations,proposition_and_demonstration,0,7,0.0
partial_from_book_1,proposition_any,2,8,25.0
partial_from_book_1,proposition_use_application,0,8,0.0
partial_from_book_1,proposition_selection_extraction,0,8,0.0
partial_from_book_1,proposition_ordering_reduction,0,8,0.0
partial_from_book_1,proposition_explanation_commentary,0,8,0.0
partial_from_book_1,demonstration_any,1,8,12.5
partial_from_book_1,demonstration_easy_clear,1,8,12.5
partial_from_book_1,demonstration_new,0,8,0.0
partial_from_book_1,demonstration_order_method,1,8,12.5
partial_from_book_1,demonstration_adapted_to_capacity,0,8,0.0
partial_from_book_1,proposition_and_demonstration,0,8,0.0
selected_later_books,proposition_any,1,21,4.8
selected_later_books,proposition_use_application,0,21,0.0
selected_later_books,proposition_selection_extraction,0,21,0.0
selected_later_books,proposition_ordering_reduction,0,21,0.0
selected_later_books,proposition_explanation_commentary,0,21,0.0
selected_later_books,demonstration_any,4,21,19.0
selected_later_books,demonstration_easy_clear,1,21,4.8
selected_later_books,demonstration_new,0,21,0.0
selected_later_books,demonstration_order_method,0,21,0.0
selected_later_books,demonstration_adapted_to_capacity,0,21,0.0
selected_later_books,proposition_and_demonstration,1,21,4.8
unknown_books,proposition_any,3,56,5.4
unknown_books,proposition_use_application,0,56,0.0
unknown_books,proposition_selection_extraction,1,56,1.8
unknown_books,proposition_ordering_reduction,1,56,1.8
unknown_books,proposition_explanation_commentary,1,56,1.8
unknown_books,demonstration_any,5,56,8.9
unknown_books,demonstration_easy_clear,3,56,5.4
unknown_books,demonstration_new,0,56,0.0
unknown_books,demonstration_order_method,0,56,0.0
unknown_books,demonstration_adapted_to_capacity,0,56,0.0
unknown_books,proposition_and_demonstration,1,56,1.8
