review_priority,v7_policy_question,codex_recommendation,reviewer_v7_value,reviewer_target_feature,reviewer_status,reviewer_notes,review_id,Page/Key,Language,Feature Name,decision_tier,v6_focus_area,Value_orig,Value_llm,Value_llm5,working_final_value,Value_llm6,v6_target,v6_target_source,v6_exact_match,v6_missing,preferred_source,error_type,human_final_value,human_notes
P1_v6_mismatch_human_target,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): CLAAS JANSZ. VOOGHT,,Adapter Attribution,,,R0139,Amsterdam_1695,DUTCH,Adapter Attribution,C_llm_agreement_overrides_manual,minimal_vs_full_span,CLAAS JANSZ. VOOGHT,CLAAS JANSZ,CLAAS JANSZ,CLAAS JANSZ,CLAAS JANSZ,CLAAS JANSZ. VOOGHT,orig,0,0,orig,llm_overtrimmed,CLAAS JANSZ. VOOGHT,
P1_v6_mismatch_human_target,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): P. CLAUDE FRANÇOIS MILLET DECHALLES,,Adapter Attribution,,,R0171,Amsterdam_1700,FRENCH,Adapter Attribution,C_llm_agreement_overrides_manual,minimal_vs_full_span,P. CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,P. CLAUDE FRANÇOIS MILLET DECHALLES,orig,0,0,orig,Missed the initial of the given name (P stands for Pierre),CLAUDE FRANÇOIS MILLET DECHALLES,
P1_v6_mismatch_human_target,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): SIMONEM MARIUM,,Adapter Attribution,,,R0202,Ansbach_1610,"GERMAN, LATIN",Adapter Attribution,C_llm_agreement_overrides_manual,minimal_vs_full_span,SIMONEM MARIUM,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM,orig,0,0,orig,,SIMONEM MARIUM,
P1_v6_mismatch_human_target,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (v5): der stadt Leyden Landtmeter, Wijnroeyer",,Adapter Description,,,R0019,Amsterdam_1616,DUTCH,Adapter Description,D_prompt_policy_choice,prompt_choice_policy,der stadt Leyden Landtmeter ende Wijnroeyer.,der stadt Leyden Landtmeter ende Wijnroeyer,"der stadt Leyden Landtmeter, Wijnroeyer",der stadt Leyden Landtmeter ende Wijnroeyer,der stadt Leyden Landtmeter ende Wijnroeyer,"der stadt Leyden Landtmeter, Wijnroeyer",v5,0,0,v5,"there should be a full string match with the text, so punctuations inside the string should be included (suffix/prefix punctoations should be removed)",der stadt Leyden Landtmeter ende Wijnroeyer,
P1_v6_mismatch_human_target,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Previous reviewed target (working): Professer Matheseos der Hooge Schoole tot Leyden,,Adapter Description,,,R0104,Amsterdam_1662,DUTCH,Adapter Description,C_llm_agreement_overrides_manual,minimal_vs_full_span,Professer Matheseos,Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,in sijn leven Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,working,0,0,working,"The human was mistaken in orig, but it's not a huge mistake",Professer Matheseos der Hooge Schoole tot Leyden,
P1_v6_mismatch_human_target,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (orig): Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",,Adapter Description,,,R0203,Ansbach_1610,"GERMAN, LATIN",Adapter Description,C_llm_agreement_overrides_manual,minimal_vs_full_span,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",orig,0,0,orig,,,
P1_v6_mismatch_human_target,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (working): REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",,Adapter Description,,,R0868,Frankfurt_1674,LATIN,Adapter Description,C_llm_agreement_overrides_manual,minimal_vs_full_span,"P., REGISCURIANI E SOCIET. JESU
Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",working,0,0,working,,"REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",
P1_v6_mismatch_human_target,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,,Base Content,,corrected: include TREDECIM,R0222,Antwerp_1645,LATIN,Base Content,C_llm_agreement_overrides_manual,minimal_vs_full_span,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM ET HYPSICLEM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,orig,0,0,orig,llm_overtrimmed,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,
P1_v6_mismatch_human_target,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Previous reviewed target (orig): Van nieus oversien, ende verbetert",,Base Content Description,,,R0021,Amsterdam_1616,DUTCH,Base Content Description,D_prompt_policy_choice,span_boundary_definition,"Van nieus oversien, ende verbetert","Van de beginselen ende fondamenten der Geometrie. Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen. Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, lief
hebbers der selver vryer Conste.","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen","Van nieus oversien, ende verbetert",orig,0,0,orig,"the second part is presented as an ""addition"" to the elements",,
P1_v6_mismatch_human_target,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,Previous reviewed target (custom_preferred_source): Von den anfängen vnd fundamenten der Geometriæ,,Base Content Description,,,R0036,Amsterdam_1618,GERMAN,Base Content Description,D_prompt_policy_choice,span_boundary_definition,Niderlandischen andern Edition,"Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici, Von den anfängen vnd fundamenten der Geometriæ","Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici:, Von den anfängen vnd fundamenten der Geometriæ., Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind:, sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen:, Per Demonstra-tiones Lineales.","Die sechs ersten Bücher EVCLIDIS, Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici: Von den anfängen vnd fundamenten der Geometriæ",Von den anfängen vnd fundamenten der Geometriæ,custom_preferred_source,0,0,Von den anfängen vnd fundamenten der Geometriæ,"Use another value (as specified) - do not include descriptions of Euclid as a person, only of the Elements.",,
