Feature Name,reviewed_rows,preferred_orig,preferred_working,preferred_v1,preferred_v5,preferred_custom,recommended_v6_policy,v6_instruction,observed_errors
Adapter Attribution,4,3,1,0,0,0,prefer_fuller_source_span,"Include initials, honorific initials, and surname particles when they are part of the printed name; do not include following place/role descriptors.",llm_overtrimmed (1); Missed the initial of the given name (P stands for Pierre) (1)
Adapter Description,5,1,3,0,1,0,prefer_cleaned_working_span,"Include role/affiliation descriptors adjacent to the adapter, but do not absorb the adapter's name or unrelated work title.","The human was mistaken in orig, but it's not a huge mistake (1); there should be a full string match with the text, so punctuations inside the string should be included (suffix/prefix punctoations should be removed) (1)"
Base Content,6,6,0,0,0,0,prefer_fuller_source_span,"Do not cut off book counts, Euclid references, or title qualifiers that are part of the title/designation.","llm_overtrimmed (2); it can also be the working version, its a borderline case (1); don't include commas/dots at the end (1)"
Base Content Description,2,1,0,0,0,1,prefer_fuller_source_span,"Extract description of the Elements/content itself; do not include descriptions of Euclid as a person, and do not absorb additions/enrichments.","the second part is presented as an ""addition"" to the elements (1); Use another value (as specified) - do not include descriptions of Euclid as a person, only of the Elements. (1)"
Bound With,1,0,0,0,0,1,needs_feature_specific_rule,Use the custom reviewed value as an example; current candidates missed the desired boundary.,other value (1)
Date in Imprint,1,0,1,0,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Edition Statement,1,0,1,0,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Elements Designation,4,4,0,0,0,0,prefer_fuller_source_span,"Do not cut off book counts, Euclid references, or title qualifiers that are part of the title/designation.",llm_overtrimmed (3)
Enriched With,2,2,0,0,0,0,prefer_fuller_source_span,"Include additions/enrichments as fuller phrases, not just isolated keywords.",
Euclid References,4,0,4,0,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Explicit Language References,3,2,0,0,1,0,prefer_fuller_source_span,Extract all explicit source/target language references when multiple languages are mentioned.,"it's a mistake, this string indeed does not appear in the sources (1)"
Institutions,4,0,3,1,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Intended Audience,2,1,1,0,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Other Educational Authorities,2,1,1,0,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Patronage Dedication,1,0,1,0,0,0,prefer_cleaned_working_span,Keep the cleaner LLM span; remove noisy prefixes/suffixes and outer punctuation.,
Place in Imprint,4,2,2,0,0,0,prefer_cleaned_working_span,"Prefer the place/city unit from the imprint; remove only outer punctuation, but keep compound place phrases when they name the publication place.",The human was mistaken in orig (1)
Publisher in Imprint,1,1,0,0,0,0,prefer_fuller_source_span,Avoid over-trimming; include the full named/title phrase when it is part of the feature.,
Verbs,5,3,1,0,1,0,prefer_fuller_source_span,"Extract all action verbs that describe edition/adapter work; do not drop the first verb in a coordinated list, and do not include non-verbal surrounding phrases.",missed a verb (2); The human was mistaken in orig (1); only the verbs should be included (1)
