review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,working_final_value,decision_tier,diagnostic_question,v6_focus_area,preferred_source,error_type,span_policy,human_final_value,human_status,v6_instruction_note,human_notes
R0008,Alcala_1637,"DUTCH, LATIN",Elements Designation,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,
R0051,Amsterdam_1618,GERMAN,Verbs,verteutscht,"verteutscht, angefüget","verteutscht, angefüget","verteutscht, angefüget",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,working,The human was mistaken in orig,,,,,
R0104,Amsterdam_1662,DUTCH,Adapter Description,Professer Matheseos,Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,"The human was mistaken in orig, but it's not a huge mistake",,,,,
R0120,Amsterdam_1662,DUTCH,Place in Imprint,’AMSTERDAM,AMSTERDAM,AMSTERDAM,AMSTERDAM,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,working,The human was mistaken in orig,,,,,
R0139,Amsterdam_1695,DUTCH,Adapter Attribution,CLAAS JANSZ. VOOGHT,CLAAS JANSZ,CLAAS JANSZ,CLAAS JANSZ,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,
R0151,Amsterdam_1695,DUTCH,Elements Designation,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS BEGINSELEN,EUCLIDIS BEGINSELEN,EUCLIDIS BEGINSELEN,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,
R0170,Amsterdam_1697,FRENCH,Verbs,"COMPREND, REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,orig,missed a verb,,,,,
R0171,Amsterdam_1700,FRENCH,Adapter Attribution,P. CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,Missed the initial of the given name (P stands for Pierre),,,,,
R0179,Amsterdam_1700,FRENCH,Euclid References,D’EUCLIDE,EUCLIDE,EUCLIDE,EUCLIDE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0180,Amsterdam_1700,FRENCH,Institutions,la Compagnie de JESUS,Compagnie de JESUS,Compagnie de JESUS,Compagnie de JESUS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0184,Amsterdam_1700,FRENCH,Verbs,"EXPLIQUEZ, Reveuë, corrigée.","Reveuë, corrigée","Reveuë, corrigée","Reveuë, corrigée",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,orig,missed a verb,,,,,
R0202,Ansbach_1610,"GERMAN, LATIN",Adapter Attribution,SIMONEM MARIUM,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,
R0203,Ansbach_1610,"GERMAN, LATIN",Adapter Description,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,
R0211,Ansbach_1610,"GERMAN, LATIN",Explicit Language References,"Griechischer, Hohe deutsche",Griechischer,Griechischer,Griechischer,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,
R0222,Antwerp_1645,LATIN,Base Content,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,
R0294,Arnhem_1605,LATIN,Euclid References,EV- CLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0306,Arnhem_1605a,LATIN,Elements Designation,Decimo Elementorum libro,Decimo Elementorum,Decimo Elementorum,Decimo Elementorum,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,
R0308,Arnhem_1605a,LATIN,Euclid References,EVCLIDIS,"EV-
CLIDIS","EV-
CLIDIS","EV-
CLIDIS",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0316,Augsburg_1555,GERMAN,Base Content,"Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis","Das sibend, acht und neünt büch","Das sibend, acht und neünt büch","Das sibend, acht und neünt büch",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,
R0327,Augsburg_1555,GERMAN,Institutions,der löblichen vniuersitet zü Tübingen,vniuersitet zü Tübingen,vniuersitet zü Tübingen,vniuersitet zü Tübingen,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0331,Bamberg_1677,LATIN,Adapter Attribution,GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0346,Bamberg_1677,LATIN,Place in Imprint,"BAMBERGÆ, Franco-furtensis",BAMBERGÆ,BAMBERGÆ,BAMBERGÆ,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,orig,,,,,,
R0421,Basel_1550,LATIN,Euclid References,EVCLIDIS,"EVCLIDIS, Euclidis","EVCLIDIS, Euclidis","EVCLIDIS, Euclidis",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0483,Bologna_1651,ITALIAN,Base Content,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,
R0531,Bologna_1686,ITALIAN,Base Content,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,
R0811,Ferrara_1628,LATIN,Publisher in Imprint,Franciscum Succium,Franciscum Succium Superiorum,Franciscum Succium Superiorum,Franciscum Succium Superiorum,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,orig,,,,,,
R0831,Florence_1690,ITALIAN,Verbs,"distesa, pubblicata",pubblicata,pubblicata,pubblicata,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,orig,,,,,,
R0868,Frankfurt_1674,LATIN,Adapter Description,"P., REGISCURIANI E SOCIET. JESU
Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
R0875,Frankfurt_1674,LATIN,Institutions,"SOCIET. JESU, Panormitano Siciliæ, Herbipolitano Franconiæ, SOCIETATIS JESU Gymnasio","SOC IETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos","SOC IETATIS JESU, Gymnasio Matheseos",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,
