person,elements_key,elements_year,elements_city,elements_language_first,elements_format,elements_books,elements_claim_flags,elements_social_flags,non_elements_key,non_elements_year,non_elements_city,non_elements_language_first,non_elements_format,non_elements_subject_family,non_elements_claim_flags,non_elements_social_flags,year_gap,same_city,same_language_first,same_format,control_level,same_format_strict,elements_short_title,non_elements_short_title,elements_publisher,non_elements_publisher,elements_rich_claim_text,non_elements_rich_claim_text,elements_rich_social_text,non_elements_rich_social_text,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social
Christopher Clavius,Rome_1603,1603,Rome,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,bib-6,1604,Rome,LATIN,,Geometry/Theory,,religious_institutional_arena,1,1,1,0,same_person_city_language_within_5y,0,,,Aloysius Zannettus,Aloisius Zannetti,"accessit | editi | locupletati | illustrati | evclidis elementorvm libri xv | evclidis posteriores libri ix | nunc quarto editi, ac multarum rerum accessione post primam editionem locupletati | e societate iesv | evclidis elementorvm libri xv | evclidis posteriores libri ix | omnes perspicvis demonstrationibvs, accuratisque scholijs illustrati | liber xvi. de solidorum regularium cuiuslibet intra quodlibet comparatione | liber xvi. de solidorum regularium",e societate iesv,societate iesv | e societate iesv,societate iesv | e societate iesv,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_visual_material_aids,,,,,religious_institutional_arena
Christopher Clavius,Rome_1589,1589,Rome,LATIN,8,1-16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,X2T7PY,1586,Rome,LATIN,,Instruments/Measurement,claim_augmentation_enrichment_composition,religious_institutional_arena,3,1,1,0,same_person_city_language_within_5y,0,Euclidis elementorum libri XV,Fabrica et usus instrumenti ad horologiorum descriptionem,,Bartholomaeus Grassium,"acces- sit | ac-cessit | illustrati | editi | locupletati | illustrati | evclidis elementorvm libri xv | evclidis posteriores libri sex a x. ad xv | evclidis elementorvm lib. xv | evclidis posteriores lib. ix | omnes perspicvis demonstrationibus, accuratisque scholijs illustrati | nunc iterum editi, ac multarum rerum accessione locupletati | soci-etatis iesv | avctore | è societate iesv | evclidis elementorvm libri xv | evclidis posteriores libri sex a x. ad xv | evclidis elementorvm lib. xv | evclidis posteriores lib. ix | scholijs illustrati | multarum rerum accessione | scholijs illustrati | de solidorum regularium comparatione | de solidorvm | de solidorum regularium | de solidorvm | evclidis","accessit | bambergensi societatis iesv | ratio describendarum horarum a meridie & media nocte exquisitissima, & nunquam ante hac in lucem edita",soci-etatis iesv | societate iesv | soci-etatis iesv | avctore | è societate iesv,societatis iesv | bambergensi societatis iesv,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_method_demonstration_order; claim_visual_material_aids,claim_augmentation_enrichment_composition,,,,religious_institutional_arena
Claude-François Milliet Dechales,Paris_1677a,1677,Paris,FRENCH,12,"1–6, 11–12",claim_method_demonstration_order; claim_ancient_authority_restoration,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,0,1,1,0,same_person_city_language_within_5y,0,,,Estienne Michallet,Etienne Michallet,expliquez | les elemens d’evclide | proposition pour toutes les parties des mathematiques | p | les elemens d’evclide | d’evclide,enrichy | r. p | de la compagnie de jesus | figures en taille douce,compagnie de jesus | p,compagnie de jesus | r. p | de la compagnie de jesus,claim_ancient_authority_restoration; claim_method_demonstration_order,claim_augmentation_enrichment_composition; claim_visual_material_aids,,,,religious_institutional_arena
Claude-François Milliet Dechales,Paris_1682,1682,Paris,FRENCH,12,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,5,1,1,0,same_person_city_language_within_5y,0,Les Elemens d'Euclide expliqués par le P. Claude François Milliet Dechalles,,Estienne Michallet,Etienne Michallet,les elemens d’euclide | expliquez d’une maniere nouvelle & tres-facile | avec l’usage de chaque proposition pour toutes les parties des mathematiques | nouvelle edition | de la compagnie de jesus | les elemens d’euclide | euclide,enrichy | r. p | de la compagnie de jesus | figures en taille douce,compagnie de jesus | de la compagnie de jesus,compagnie de jesus | r. p | de la compagnie de jesus,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_method_demonstration_order; claim_utility_practice_application,claim_visual_material_aids,claim_augmentation_enrichment_composition,,,religious_institutional_arena
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,MorisS-16-1,1623,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,0,1,1,0,same_person_city_language_within_5y,0,,,I. Ant. Ioallin,Fleury Bourriquant,traduicts | reueu | augmenté | les traducteurs dudit euclide | les qvinze livres des elements d’evclide | reueu & augmenté en ceste seconde edition | mathematicien | les qvinze livres des elements d’evclide | un sommaire de l’algebre | la response apologetique | un sommaire de l’algebre | response apologetique | sommaire de l’algebre | latin | françois | d’evclide | dudit euclide,"reueuë | corrigée | augmentée | en favevr de la noblesse françoiſe | de l’arithmetique militaire | construction des tables des sinus, tou‑chantes & couppantes ; doctrine des triangles rectilignes ; pratique de diuers problemes geometriques ; dimenſion des lignes droictes, su‑perficies & corps ; pratique du compas de proportions ; & de la conſtruction des fortereſſes, ſeruans d’explication & augmentation | seconde edition, reueuë, corrigée & augmentée en diuers en‑droicts, & meſme d’vn traicté entier, co[n]tenant vne brieue inſtru‑ ction pour conſtruire les fortifications pratiquées aux pays bas | mathematicien | monſieur errard | d’explication & augmentation | vne brieue instruction | de l’arithmetique militaire | conſtruction des tables des sinus, tou- chantes & couppantes | doctrine des triangles rectilignes | pratique de diuers problemes geometriques | dimenſion des lignes droictes, su- perficies & corps | pratique du compas de proportions | de la conſtruction des fortereſſes, ſeruans d’explication & augmentation és deux & troiſieſmes liures des fortifications de monſieur errard | vn traicté entier, co[n]tenant vne brieue inſtru- ction pour conſtruire les fortifications pratiquées aux pays bas | fortifications de monſieur errard | françoiſe",les traducteurs dudit euclide | mathematicien,en favevr de la noblesse françoiſe | mathematicien | monſieur errard,claim_ancient_authority_restoration,claim_method_demonstration_order; claim_utility_practice_application; claim_visual_material_aids,claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer,court_state_service_arena,,learned_scholarly_arena; patronage_prestige_arena
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-11,1630,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,learned_scholarly_arena,0,1,1,0,same_person_city_language_within_5y,0,"Les six premiers livres des Elemens d'Euclide, traduits de latin en françois, par D. Henrion",,Samuel Thiboust,Isaac Desdin,extraicts | tirez | traduits | les six premiers livres des elemens d’evclide | extraicts & tirez de ses oeuures mathematiques | mathematicien | les six premiers livres des elemens d’evclide | latin | françois | d’evclide,mathematicien,mathematicien,mathematicien,claim_ancient_authority_restoration; claim_selection_extraction_abridgment; claim_translation_vernacularization_transfer,,,,,learned_scholarly_arena
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-18,1613,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,2,1,1,0,same_person_city_language_within_5y,0,"Les quinze livres des Éléments d’Euclide, traduits du latin en français",Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise,Jean Antoine Joallin,,"traduicts | traduicts | reueuë | corrigée | augmentée | reueue | corrigée | augmentée | traduicts | les qvinze livres des elements d’evclide | les qvinze livres des elemens d’evclide | seconde edition | reueuë, corrigée & augmentée | qvatriesme edition | mathemat | mathematicien | professeur ès mathematiques | les qvinze livres des elements d’evclide | les qvinze livres des elemens d’evclide | qvinze livres des elemens d’evclide | sommaire & abbregé de l’algebre | sommaire & abbregé de l’algebre | latin | françois | evclide | d’evclide","recveillis | dressez | en favevr de la noblesse | memoires mathematiqves recveillis et dressez | auquel eft traité de l'arithmetique militaire; con£lru£hon des tables des sinus, tou- chantes & coupantes; doctrine des triangles rectilignes ; prati- que de diuers problermes geometriques ; dimenfion des lignes droi£tes, fuperfcies & corps; pratique du compas de proportion ; de la conflru£hon & fabrique des forterel/es, feruans d'explication & augmentation es deux & troi£iefmes liures des fortifications de mon- fieur errard | premier volvme | mathematicien | mon- fieur errard | feruans d'explication & augmentation",mathemat | mathematicien | professeur ès mathematiques,en favevr de la noblesse | mathematicien | françoise | mon- fieur errard,claim_ancient_authority_restoration; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer,claim_utility_practice_application; claim_visual_material_aids,claim_augmentation_enrichment_composition,,patronage_prestige_arena,learned_scholarly_arena
Denis Henrion,Paris_1632,1632,Paris,FRENCH,4,1-15,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,MorisS-16-11,1630,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,learned_scholarly_arena,2,1,1,0,same_person_city_language_within_5y,0,Les quinze livres des éléments géométriques d'Euclide,,Isaac Dedin,Isaac Desdin,traduicts | imprimez | reueus | corrigez | traduict | imprimé | les qvinze livres des elements geometriqves d’evclide | reueus & corrigez du viuant de l’autheur | professeur és mathematiques | les qvinze livres des elements geometriqves d’evclide | commentaires beaucoup plus amples & faciles | figures en plus grand nombre | le liure des donnez du mesme euclide | donnez | françois | d’evclide | euclide,mathematicien,professeur és mathematiques,mathematicien,claim_accessibility_clarity_pedagogy; claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,no_visible_social_arena,learned_scholarly_arena,
Federico Commandino,Pesaro_1572,1572,Pesaro,LATIN,2,1-15,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,bib-42,1570,Pesaro,LATIN,,Geometry/Theory,,no_visible_social_arena,2,1,1,0,same_person_city_language_within_5y,0,Euclidis elementorum libri XV una cum scholiis antiquis,De superficierum divisionibus liber Machometo Bagdedino ascriptus,Camillo Franceschini,Hieronymus Concordia,conuersi | illustrati | evclidis elementorvm libri xv | vnà cum scholijs antiquis | à federico commandino vrbinate nvper in latinvm conuersi | vrbinate nvper | evclidis elementorvm libri xv | commentarijsque quibusdam illustrati | latinvm | evclidis,ascriptus | editus | nunc primum,vrbinate nvper,federici commandini,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,,,no_visible_social_arena
Honorat de Meynier,Paris_1624,1624,Paris,FRENCH,8,"7-9, 1-3, 6, 13-14",claim_method_demonstration_order; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,Paris_1626,1626,Paris,FRENCH,4,Geometry/Theory | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,2,1,1,0,same_person_city_language_within_5y,0,,,Ivlian Iacqvin,"NICOLAS ROUSSET, Ivlian Iacqvin","ceux qui se veulent seruir proprement des ma- thematiques, & de la philosophie | d’euclides | d’archimedes | de proclus | de sacrobosco | d’aristote | ensemble les definitions theoremes & maximes, d’euclides, d’archime- des, de proclus, de sacrobosco, & d’aristote | auec un abregé des reigles de la geometrie, & des principales ma- ximes & regles des arts, de for- tifier & assaillir les places | ensemble les definitions theoremes & maximes, d’euclides, d’archime- des, de proclus, de sacrobosco, & d’aristote | d’euclides | d’archimedes | de proclus | de sacrobosco | d’aristote | d’euclides","vtiles à ceux qui se veulent seruir proprement des mathematiques, & de la philosophie | ensemble les definitions, theoremes & maximes | d’euclides, d’archimedes, de proclus, de sacrobosco, & d’aristote | d’euclides | paradoxes de meynier, contre les mathematiciens qui abusent la ieunesse | vn abrege' des reigles de la geometrie, & des prin- cipalles maximes & reigles des arts, de fortifier & assaillir les places | paradoxes de meynier, contre les mathematiciens | abrege' des reigles de la geometrie | d’euclides","ceux qui se veulent seruir proprement des ma- thematiques, & de la philosophie | d’euclides | d’archimedes | de proclus | de sacrobosco | d’aristote","vtiles à ceux qui se veulent seruir proprement des mathematiques, & de la philosophie",,claim_utility_practice_application,claim_ancient_authority_restoration; claim_method_demonstration_order; claim_selection_extraction_abridgment,,,learned_scholarly_arena
