review_priority,review_id,Page/Key,Feature Name,comparison_score,comparison_target_source,comparison_target,v7_value,Value_llm6,working_final_value,human_final_value,v6_target,review_question_now,codex_recommendation,error_type,v6_focus_area
P1_v6_mismatch_human_target,R0031,Amsterdam_1616,Verbs,different,v6_target,"Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert,"Overgeset, verclaert, uytgeleyt, oversien, verbetert","Overgeset, verclaert, ende uytgeleyt, Van nieus oversien, ende verbetert",,"Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,"Previous reviewed target (v5): Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",only the verbs should be included,span_boundary_definition
P1_v6_mismatch_human_target,R0051,Amsterdam_1618,Verbs,different,v6_target,"verteutscht, angefüget",verteutscht | angefüget,verteutscht,"verteutscht, angefüget",,"verteutscht, angefüget",Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,"Previous reviewed target (working): verteutscht, angefüget",The human was mistaken in orig,span_boundary_definition
P1_v6_mismatch_human_target,R0170,Amsterdam_1697,Verbs,different,v6_target,"COMPREND, REVUE, CORRIGÉE",REVUE | CORRIGÉE,"REVUE, CORRIGÉE","REVUE, CORRIGÉE",,"COMPREND, REVUE, CORRIGÉE",Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,"Previous reviewed target (orig): COMPREND, REVUE, CORRIGÉE",missed a verb,span_boundary_definition
P1_v6_mismatch_human_target,R0184,Amsterdam_1700,Verbs,different,v6_target,"EXPLIQUEZ, Reveuë, corrigée.",Reveuë | corrigée,"Reveuë, corrigée","Reveuë, corrigée",,"EXPLIQUEZ, Reveuë, corrigée.",Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,"Previous reviewed target (orig): EXPLIQUEZ, Reveuë, corrigée.",missed a verb,span_boundary_definition
P1_v6_mismatch_human_target,R0831,Florence_1690,Verbs,different,v6_target,"distesa, pubblicata",distesa | pubblicata,"pubblicata, SPIEGATA, distesa",pubblicata,,"distesa, pubblicata",Which exact action verbs should be kept? Should auxiliary/addition verbs like by-gevoeght/ghevoecht/Vertaelt count?,"Previous reviewed target (orig): distesa, pubblicata",,span_boundary_definition
P1_v6_mismatch_human_target,R0009,Alcala_1637,Enriched With,missing_v7,human_final_value,comentado,,comentado por LVIS CARDVCHI,comentado,comentado,comentado,"Should this be a full phrase span, or only minimal enrichment nouns/objects?",Previous reviewed target (orig): comentado,,span_boundary_definition
P1_v6_mismatch_human_target,R0042,Amsterdam_1618,Enriched With,different,v6_target,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind: sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen: Per Demonstra-tiones Lineales","Dabey dann mancherley auss disen Büchern gezogene nutzbarkeiten angefüget seind, Per Demonstra-tiones Lineales","Speciebus inn Geometrischen figurn, Demonstra-tiones Lineales",,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","Should this be a full phrase span, or only minimal enrichment nouns/objects?","Previous reviewed target (orig): mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales",,span_boundary_definition
P1_v6_mismatch_human_target,R0021,Amsterdam_1616,Base Content Description,different,v6_target,"Van nieus oversien, ende verbetert","De ses eerste Boucken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken, Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Overgeset, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste",,"Van nieus oversien, ende verbetert","Where should Base Content stop, and should descriptive/addition material be split out?","Previous reviewed target (orig): Van nieus oversien, ende verbetert","the second part is presented as an ""addition"" to the elements",span_boundary_definition
P1_v6_mismatch_human_target,R0028,Amsterdam_1616,Intended Audience,different,v6_target,"van alle leergierighe, lief hebbers der selver vryer Conste","van alle leergierighe, liefhebbers der selver vryer Conste","alle leergierighe, lief hebbers der selver vryer Conste","van alle leergierighe, lief
hebbers der selver vryer Conste",,"van alle leergierighe, lief hebbers der selver vryer Conste","Should the full audience phrase be kept, or only the noun group?","Previous reviewed target (working): van alle leergierighe, lief hebbers der selver vryer Conste",,span_boundary_definition
P1_v6_mismatch_human_target,R0118,Amsterdam_1662,Intended Audience,missing_v7,v6_target,Aencomelingen,,,Aencomelingen,,Aencomelingen,"Should the full audience phrase be kept, or only the noun group?",Previous reviewed target (orig): Aencomelingen,,span_boundary_definition
