review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,working_final_value,decision_tier,diagnostic_question,v6_focus_area,preferred_source,error_type,span_policy,human_final_value,human_status,v6_instruction_note,human_notes,Value_llm6,v6_target,v6_target_source,v6_exact_match,v6_missing,v6_source_revision,v6_revision_name
R0008,Alcala_1637,"DUTCH, LATIN",Elements Designation,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,ELEMENTOS GEOMETRICOS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,,ELEMENTOS GEOMETRICOS DE EVCLIDES PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,ELEMENTOS GEOMETRICOS DE EVCLIDES,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R0051,Amsterdam_1618,GERMAN,Verbs,verteutscht,"verteutscht, angefüget","verteutscht, angefüget","verteutscht, angefüget",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,working,The human was mistaken in orig,,,,,,verteutscht,"verteutscht, angefüget",working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0104,Amsterdam_1662,DUTCH,Adapter Description,Professer Matheseos,Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,"The human was mistaken in orig, but it's not a huge mistake",,,,,,in sijn leven Professer Matheseos der Hooge Schoole tot Leyden,Professer Matheseos der Hooge Schoole tot Leyden,working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0120,Amsterdam_1662,DUTCH,Place in Imprint,’AMSTERDAM,AMSTERDAM,AMSTERDAM,AMSTERDAM,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,working,The human was mistaken in orig,,,,,,t’AMSTERDAM,AMSTERDAM,working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6
R0139,Amsterdam_1695,DUTCH,Adapter Attribution,CLAAS JANSZ. VOOGHT,CLAAS JANSZ,CLAAS JANSZ,CLAAS JANSZ,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,,CLAAS JANSZ,CLAAS JANSZ. VOOGHT,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6
R0151,Amsterdam_1695,DUTCH,Elements Designation,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS BEGINSELEN,EUCLIDIS BEGINSELEN,EUCLIDIS BEGINSELEN,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,,"EUCLIDIS BEGINSELEN der MEETKONST, Vervaat in 15 Boeken",EUCLIDIS BEGINSELEN der MEETKONST,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R0170,Amsterdam_1697,FRENCH,Verbs,"COMPREND, REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE","REVUE, CORRIGÉE",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,orig,missed a verb,,,,,,"REVUE, CORRIGÉE","COMPREND, REVUE, CORRIGÉE",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0171,Amsterdam_1700,FRENCH,Adapter Attribution,P. CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,Missed the initial of the given name (P stands for Pierre),,,,,,CLAUDE FRANÇOIS MILLET DECHALLES,P. CLAUDE FRANÇOIS MILLET DECHALLES,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6
R0179,Amsterdam_1700,FRENCH,Euclid References,D’EUCLIDE,EUCLIDE,EUCLIDE,EUCLIDE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,EUCLIDE,EUCLIDE,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6
R0180,Amsterdam_1700,FRENCH,Institutions,la Compagnie de JESUS,Compagnie de JESUS,Compagnie de JESUS,Compagnie de JESUS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,Compagnie de JESUS,Compagnie de JESUS,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a14,v6
R0184,Amsterdam_1700,FRENCH,Verbs,"EXPLIQUEZ, Reveuë, corrigée.","Reveuë, corrigée","Reveuë, corrigée","Reveuë, corrigée",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",span_boundary_definition,orig,missed a verb,,,,,,"Reveuë, corrigée","EXPLIQUEZ, Reveuë, corrigée.",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0202,Ansbach_1610,"GERMAN, LATIN",Adapter Attribution,SIMONEM MARIUM,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM Guntzenhu-sanum,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,,SIMONEM MARIUM Guntzenhu-sanum,SIMONEM MARIUM,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6
R0203,Ansbach_1610,"GERMAN, LATIN",Adapter Description,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,Franc. Fürstlichen Brandenb,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,,Franc. Fürstlichen Brandenb,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0211,Ansbach_1610,"GERMAN, LATIN",Explicit Language References,"Griechischer, Hohe deutsche",Griechischer,Griechischer,Griechischer,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,,Griechischer,"Griechischer, Hohe deutsche",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a10,v6
R0222,Antwerp_1645,LATIN,Base Content,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM ET HYPSICLEM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0294,Arnhem_1605,LATIN,Euclid References,EV- CLIDIS,EVCLIDIS,EVCLIDIS,EVCLIDIS,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,EVCLIDIS,EVCLIDIS,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6
R0306,Arnhem_1605a,LATIN,Elements Designation,Decimo Elementorum libro,Decimo Elementorum,Decimo Elementorum,Decimo Elementorum,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,,Decimo Elementorum libro,Decimo Elementorum libro,orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R0308,Arnhem_1605a,LATIN,Euclid References,EVCLIDIS,"EV-
CLIDIS","EV-
CLIDIS","EV-
CLIDIS",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,EV-CLIDIS,EV- CLIDIS,working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6
R0316,Augsburg_1555,GERMAN,Base Content,"Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis","Das sibend, acht und neünt büch","Das sibend, acht und neünt büch","Das sibend, acht und neünt büch",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,llm_overtrimmed,,,,,,"Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis","Das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis",orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0327,Augsburg_1555,GERMAN,Institutions,der löblichen vniuersitet zü Tübingen,vniuersitet zü Tübingen,vniuersitet zü Tübingen,vniuersitet zü Tübingen,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,vniuersitet zü Tübingen,vniuersitet zü Tübingen,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a14,v6
R0331,Bamberg_1677,LATIN,Adapter Attribution,GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,P. GASPARIS SCHOTTI,P. GASPARIS SCHOTTI,working,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6
R0346,Bamberg_1677,LATIN,Place in Imprint,"BAMBERGÆ, Franco-furtensis",BAMBERGÆ,BAMBERGÆ,BAMBERGÆ,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",imprint_scope_or_span,orig,,,,,,,BAMBERGÆ,"BAMBERGÆ, Franco-furtensis",orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6
R0421,Basel_1550,LATIN,Euclid References,EVCLIDIS,"EVCLIDIS, Euclidis","EVCLIDIS, Euclidis","EVCLIDIS, Euclidis",C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,working,,,,,,,EVCLIDIS,"EVCLIDIS, Euclidis",working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a13,v6
R0483,Bologna_1651,ITALIAN,Base Content,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,DE GLI ELEMENTI DI EVCLIDE,C_llm_agreement_overrides_manual,"v1 and v5 agree against orig. Is the LLM value a correct minimal cleanup, or did both prompts over-trim/lose needed context?",minimal_vs_full_span,orig,,,,,,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,orig,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
