bucket,classification_key,title_page_keys,year,city,language,primary_classes,secondary_classes,active_values,why_it_matters,evidence,status
professional_audience,bib-86,bib-86,1664,Bologna,LATIN,Instrument Construction | Instrument Use,Arithmetic | Practical Geometry,utility_use | community_professional,"Instrument book naming multiple professional users: geometers, surveyors, civil architects, military men, painters, sculptors, bombardiers.","audience: Geometri | Agrimensori | Architetti ciuili | militari | Pittori | Scultori | a tutti quelli, che vsano del Disegno | Bom- bardieri | Sergenti di Battaglia | Mercanti | altri ; institutions: Compagnia di GIESU ; enriched_with: Dando le ragioni, & apportando le dimostrazioni",ok
professional_audience,bib-156,bib-156,1581,Venice,ITALIAN,Instrument Use | Mechanics,Architecture | Military Engineering,,"Mechanics/instrument case addressing captains, engineers, architects, and artisans.","audience: chi si diletta di questa nobilissima Scienza | Capitani di guerra | Ingegneri | Architetti | Artefice ; content_description: la vera Dottrina di tutti gli Instrumenti principali da mouer pesi grandissimi con picciola forza ; action_verbs: TRADOTTE ; enriched_with: i vocaboli, & luoghi più difficili ; destination_language: IN VOLGARE",ok
military_practice,ustc-26,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,,utility_use | correction_revision | enrichment_addition | community_professional,"French noble/military mathematical package: arithmetic, fortification, trigonometry, practical geometry.","audience: EN FAVEVR DE LA NOBLESSE FRANÇOISE ; content_description: De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometriques ; Dimeſon des lignes droites, perficies & Corps ; Pratique du Compas de proportion ; ȣ de la  ; edition_details: SECONDE EDITION, reueuë, corrigée & augmentée en diuers en droicts ; & meſme d'vn traicté entier, contenant vne briefve inconſtr tion pour conſtruire les fortifications pées aux pays bas ; action_verbs: reueuë | corrigée | augmentée",ok
military_practice,bib-154,bib-154,1590,London,ENGLISH,Arithmetic | Military Engineering,,utility_use | correction_revision | novelty_invention | demonstration_method | enrichment_addition | community_professional,English arithmetic framed for the profession of a soldier.,"audience: for the profession of a Souldier ; content_description: Compendiously teaching the Science of Numbers as well in Fractions as Integers, and so much of the Rules and Æquations Algebraicall, and Art of Num- bers Cossicall, as are requisite for the profession of a Souldier ; edition_details: reuiwed and corrected by the author him selfe | augmented with sundry additions | First published by Thomas Digges Esquire Anno Salutis 1579 ; action_verbs: augmented | reuiwed | corrected | published ; enriched_with: sundry additions ; bound_with_minimal: Moderne Militare Discipline",ok
institutional_pedagogy,Paris_1516a,Paris_1516a,1516,Paris,LATIN,Astronomy | Gnomonics & Horology | Instrument Construction | Theoretical Mathematics,,,"Parisian academic/student context tying astronomy, instruments, gnomonics, and theoretical mathematics.",audience: studentium Philosophice Parisiensis ; institutions: Academie ; edition_details: Nouo commentario nuper edito ; action_verbs: adjecta | edito | illustratus ; enriched_with: additione (quan-tum necessarium est) adjecta | Nouo commentario nuper edito | Compositione Anuli Astronomici Boneti Latensis ; bound_with_minimal: Textus De Sphera Joannis de Sacrobosco ; educational_authorities_references: Joannis de Sacrobosco | Boneti Latensis ; elements_designation: Geometria Eu-clidis Megarensis ; references_to_euclid: Eu-clidis,ok
institutional_pedagogy,Lisbon_1735,Lisbon_1735,1735,Lisbon,PORTUGUESE,Theoretical Mathematics,,utility_use | restoration_ancient_authority | community_professional,"Jesuit/royal classroom Euclidean geometry: institutional use, Euclid, authority, and pedagogy.","audience: PARA USO DA REAL AULA ; institutions: Collegio de Santo Antão da Companhia de Jesus de Lisboa Occidental | Companhia de Jesus ; edition_details: ACRESCENTADOS COM TRÊS UTEIS ; action_verbs: ACRESCENTADOS COM TRÊS UTEIS ; enriched_with: o primeiro da Logística das Proporções | o segundo dos Theoremas selectos de Archimedes | o terceiro da Quadratriz de Dinostrato ; bound_with_minimal: Logística das Proporções | Theoremas selectos de Archimedes | Quadratriz de Dinostrato ; educational_authorities_references: Archimedes | Dinostrato ; elements_designation: ELEMENTOS DE GEOMETRIA PLANA, E SOLIDA, SEGUNDO A ORDEM DE EUCLIDES ; references_to_euclid: EUCLIDES",ok
institutional_pedagogy,Leipzig_1577,Leipzig_1577,1577,Leipzig,LATIN,Theoretical Mathematics,,enrichment_addition | community_professional,University/student framing around Euclidean/theoretical mathematics.,audience: stu-diosorum Mathematices in Acad. Lips ; institutions: Acad. Lips ; edition_details: conuersi in latinum sermonem ; action_verbs: conuersi | ADIECTÆ | editæ ; enriched_with: trium priorum librorum Demonstrationes ; bound_with_minimal: Demonstrationes ; educational_authorities_references: Mauritio Steinmetz ; elements_designation: EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX ; references_to_euclid: Εuκλείδου | EVCLIDIS ; destination_language: latinum,ok
utility_ease,bib-119,bib-119 | bib-201,1646,Amsterdam,LATIN,Arithmetic | Military Engineering | Practical Geometry | Surveying,Construction | Instrument Use,clarity_ease,"Landmeters and engineers: clarity/ease, correction, invention, enrichment, and Napier/rabdology.","audience: den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser ; content_description: Beneffens de Stock-rekenninghe ofte Rabdologia J. Nepperi, cortelick en duydelick | In het welcke Beneffens de Stockrekeninge ofte Rhabdologia I. Neperi, kortelijck ende duydelijck ’t gene den Land-meters ende Ingenieurs, nopende het Land-meten ende Sterckten- ; edition_details: nieu verrijckt met een nieuwe inventie | De tweede Editie ; action_verbs: verrijckt | gecorrigeert ; enriched_with: nieu verrijckt met een nieuwe inventie om alle ronde vatten hare wanhgheden af te pegelen ; educational_authorities_references: J. Nepperi | I. Neperi",ok
utility_ease,bib-133,bib-133,1650,London,ENGLISH,Arithmetic | Practical Geometry | Surveying,,utility_use | demonstration_method | enrichment_addition | community_professional,"Arithmetic/practical geometry/surveying framed as necessary for surveyors, engineers, and mathematical students.","audience: A Worke very necessary for all Men, but principally for Surveyors of Land, Engineers, and all other Students in the Mathematicks ; content_description: In Two Parts:  The First, Shewing how to perform the four Species of ARITHMETICK, (viz. Addition, Substraction, Multiplication, and Division,) Together with Reduction, and the Rule of Proportion in FIGURES.  The Second, Containing A Hundred GEOMETRICALL QUESTI",ok
utility_ease,bib-191,bib-191,1649,London,ENGLISH,Arithmetic | Commercial Mathematics,,clarity_ease | correction_revision | demonstration_method | enrichment_addition,"Commercial arithmetic with easy rules, interest tables, weights, leases, annuities.","content_description: The first of Vulgar Arithmetick with easie Rules to worke all the first four parts of Arithmetick, in whole Numbers and Fractions | The second of Decimall Arithmetick, whereby all Fractionall Operations are wrought in whole Number, in Mer- chants Accompts, wit ; edition_details: The First Edition ; action_verbs: added ; enriched_with: Tables of Interest exactly calculated at 10, 8, 7, and 6 per cent | The Reduction of Weights, Value of Leases and Annuities | The weight and value of English Gold | Rebate at 8 per cent",ok
