person,elements_key,elements_year,elements_city,elements_language_first,elements_format,elements_books,elements_claim_flags,elements_social_flags,non_elements_key,non_elements_year,non_elements_city,non_elements_language_first,non_elements_format,non_elements_subject_family,non_elements_claim_flags,non_elements_social_flags,year_gap,same_city,same_language_first,same_format
Claude-François Milliet Dechales,Paris_1677a,1677,Paris,FRENCH,12,"1–6, 11–12",claim_method_demonstration_order; claim_ancient_authority_restoration,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,0,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,MorisS-16-1,1623,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,0,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,MorisS-16-7,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,0,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,ustc-60,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,0,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-11,1630,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,learned_scholarly_arena,0,1,1,0
Georges Fournier,Paris_1643b,1643,Paris,LATIN,8,1–6,claim_method_demonstration_order; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,religious_institutional_arena,bib-51,1643,Paris,FRENCH,,Cosmos/Earth,claim_utility_practice_application,learned_scholarly_arena,0,1,0,0
John Dee,London_1570,1570,London,ENGLISH,2,1-16,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,bib-42,1570,Pesaro,LATIN,,Geometry/Theory,,no_visible_social_arena,0,0,0,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-10,1644,Paris,LATIN,,Geometry/Theory,,no_visible_social_arena,0,1,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-11,1644,Paris,LATIN,,No primary family,,no_visible_social_arena,0,1,1,0
Oronce Finé,Paris_1544,1544,Paris,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,bib-9,1544,Strasbourg,LATIN,,Geometry/Theory,claim_method_demonstration_order; claim_utility_practice_application; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,0,0,1,0
