review_id,Page/Key,language,year,city,Classification,Orig_Value,llm_Value_1,llm_Value_3,llm_Value_4,llm_Value_6,llm_consensus,llm_consensus_count,suggested_final_value,decision_status,decision_reason,review_priority,review_question,your_final_value,your_error_type,your_notes_for_v6
1,6X6R6Y,GERMAN,1547,Nuremberg,Construction,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,"maybe secondary, it's more theoretucal, less actually how to build."
2,MYFHIS,ITALIAN,1584,Venice,Construction,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,"maybe secondary, it's more theoretucal, less actually how to build."
3,bib-156,ITALIAN,1581,Venice,Construction,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
4,L3XLGB,FRENCH,1564,Poitiers,Instrument Construction,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
5,X2T7PY,LATIN,1586,Rome,Instrument Construction,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
6,bib-156,ITALIAN,1581,Venice,Instrument Construction,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,"dont overassume, it seems like a book discussing how to use instruments, not how to build them"
7,bib-223,GERMAN,1572,Frankfurt,Instrument Construction,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,"maybe unrelated... dont overassume, it seems like a book discussing how to use instruments, not how to build them"
8,bib-90,FRENCH,1585,Paris,Instrument Construction,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,"maybe secondary... dont overassume, it seems like a book discussing how to use instruments, not how to build them"
9,0NKS71,FRENCH,1568,Paris,Instrument Use,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
10,C8SLYQ,GERMAN,1531,Simmern,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",unrelated,,Using ruller and compass is not the same as instrument usage...
11,L3XLGB,FRENCH,1564,Poitiers,Instrument Use,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
12,X2T7PY,LATIN,1586,Rome,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
13,X5YBIB,FRENCH,1586,Paris,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
14,ZGOHUR,LATIN,1581,Rome,Instrument Use,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
15,bib-10,FRENCH,1570,Paris,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
16,bib-105,LATIN,1594,Nuremberg,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
17,bib-156,ITALIAN,1581,Venice,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,"Maybe secondary, as it teaches the theory behind it, less the practucal use"
18,bib-5,FRENCH,1585,Paris,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,"Maybe secondary, as it teaches the theory behind it, less the practucal use"
19,bib-9,LATIN,1544,Strasbourg,Instrument Use,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,Possibly even prinary
20,bib-90,FRENCH,1585,Paris,Instrument Use,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",,,
21,C8SLYQ,GERMAN,1531,Simmern,Practical Geometry,unrelated,primary,primary,primary,primary,primary,4,primary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",primary,,
22,JTRIRS,ITALIAN,1569,Venice,Practical Geometry,unrelated,secondary,secondary,secondary,secondary,secondary,4,secondary,majority_llm_related_manual_unrelated,manual unrelated but an LLM majority says related,115,"Is the manual unrelated label wrong, or are the LLMs over-classifying? If related, primary or secondary?",secondary,,
