review_priority,review_id,Page/Key,Feature Name,v7_feature_name,comparison_target_source,comparison_target,v7_value,comparison_score,error_type,v6_focus_area,v7_policy_question,codex_recommendation
P1_v6_mismatch_human_target,R0139,Amsterdam_1695,Adapter Attribution,Adapter Attribution,human_final_value,CLAAS JANSZ. VOOGHT,CLAAS JANSZ,span_contains,llm_overtrimmed,minimal_vs_full_span,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): CLAAS JANSZ. VOOGHT
P1_v6_mismatch_human_target,R0171,Amsterdam_1700,Adapter Attribution,Adapter Attribution,human_final_value,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,exact_set,Missed the initial of the given name (P stands for Pierre),minimal_vs_full_span,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): P. CLAUDE FRANÇOIS MILLET DECHALLES
P1_v6_mismatch_human_target,R0202,Ansbach_1610,Adapter Attribution,Adapter Attribution,human_final_value,SIMONEM MARIUM,SIMONEM MARIUM Guntzenhu-sanum,span_contains,,minimal_vs_full_span,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): SIMONEM MARIUM
P1_v6_mismatch_human_target,R0019,Amsterdam_1616,Adapter Description,Adapter Description,human_final_value,der stadt Leyden Landtmeter ende Wijnroeyer,der stadt Leyden Landtmeter ende Wijnroeyer,exact_set,"there should be a full string match with the text, so punctuations inside the string should be included (suffix/prefix punctoations should be removed)",prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (v5): der stadt Leyden Landtmeter, Wijnroeyer"
P1_v6_mismatch_human_target,R0104,Amsterdam_1662,Adapter Description,Adapter Description,human_final_value,Professer Matheseos der Hooge Schoole tot Leyden,in sijn leven Professer Matheseos der Hooge Schoole tot Leyden,span_contains,"The human was mistaken in orig, but it's not a huge mistake",minimal_vs_full_span,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Previous reviewed target (working): Professer Matheseos der Hooge Schoole tot Leyden
P1_v6_mismatch_human_target,R0203,Ansbach_1610,Adapter Description,Adapter Description,v6_target,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",Franc. Fürstlichen Brandenb,span_contains,,minimal_vs_full_span,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (orig): Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum."
P1_v6_mismatch_human_target,R0868,Frankfurt_1674,Adapter Description,Adapter Description,human_final_value,"REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU
Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris",different,,minimal_vs_full_span,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (working): REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS"
P1_v6_mismatch_human_target,R0222,Antwerp_1645,Base Content,Base Content,human_final_value,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,"EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS
TREDECIM",exact_set,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM
P1_v6_mismatch_human_target,R0021,Amsterdam_1616,Base Content Description,Base Content,v6_target,"Van nieus oversien, ende verbetert","De ses eerste Boucken EVCLIDIS, Van de beginselen ende fondamenten der Geometrie",different,"the second part is presented as an ""addition"" to the elements",span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Previous reviewed target (orig): Van nieus oversien, ende verbetert"
P1_v6_mismatch_human_target,R0036,Amsterdam_1618,Base Content Description,Base Content,v6_target,Von den anfängen vnd fundamenten der Geometriæ,"Die sechs ersten Bücher EVCLIDIS, Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici: Von den anfängen vnd fundamenten der Geometriæ",span_contains,"Use another value (as specified) - do not include descriptions of Euclid as a person, only of the Elements.",span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,Previous reviewed target (custom_preferred_source): Von den anfängen vnd fundamenten der Geometriæ
P1_v6_mismatch_human_target,R0224,Antwerp_1645,Bound With,Bound With - Description,v6_target,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",ISIDORVM ET HYPSICLEM & Recentiores de Corporibus Regularibus | PROCLI PROPOSITIONES GEO-METRICAS,different,other value,prompt_choice_policy,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.","Previous reviewed target (custom_preferred_source): ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS"
