review_priority,review_id,Page/Key,Feature Name,v8_feature_id,comparison_target_source,comparison_target,v8_value,comparison_score,error_type,v6_focus_area,v7_policy_question,codex_recommendation,final value
P1_v6_mismatch_human_target,R0139,Amsterdam_1695,Adapter Attribution,editor_name,human_final_value,CLAAS JANSZ. VOOGHT,CLAAS JANSZ,target_contains,llm_overtrimmed,minimal_vs_full_span,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): CLAAS JANSZ. VOOGHT,
P1_v6_mismatch_human_target,R0171,Amsterdam_1700,Adapter Attribution,editor_name,human_final_value,CLAUDE FRANÇOIS MILLET DECHALLES,CLAUDE FRANÇOIS MILLET DECHALLES,exact_set,Missed the initial of the given name (P stands for Pierre),minimal_vs_full_span,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): P. CLAUDE FRANÇOIS MILLET DECHALLES,
P1_v6_mismatch_human_target,R0202,Ansbach_1610,Adapter Attribution,editor_name,human_final_value,SIMONEM MARIUM,SIMONEM MARIUM Guntzenhu-sanum,span_contains,,minimal_vs_full_span,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Previous reviewed target (orig): SIMONEM MARIUM,
P1_v6_mismatch_human_target,R0019,Amsterdam_1616,Adapter Description,editor_description,human_final_value,der stadt Leyden Landtmeter ende Wijnroeyer,der stadt Leyden Landtmeter ende Wijnroeyer,exact_set,"there should be a full string match with the text, so punctuations inside the string should be included (suffix/prefix punctoations should be removed)",prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (v5): der stadt Leyden Landtmeter, Wijnroeyer",
P1_v6_mismatch_human_target,R0104,Amsterdam_1662,Adapter Description,editor_description,human_final_value,Professer Matheseos der Hooge Schoole tot Leyden,in sijn leven Professer Matheseos der Hooge Schoole tot Leyden,span_contains,"The human was mistaken in orig, but it's not a huge mistake",minimal_vs_full_span,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Previous reviewed target (working): Professer Matheseos der Hooge Schoole tot Leyden,
P1_v6_mismatch_human_target,R0203,Ansbach_1610,Adapter Description,editor_description,orig,"Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",Franc. Fürstlichen Brandenb,target_contains,,minimal_vs_full_span,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (orig): Guntzenhu-sanum Franc. Fürstlichen Brandenb: bestalten Mathematicum, vnd Medicinæ Utriusq; Studiosum.",
P1_v6_mismatch_human_target,R0868,Frankfurt_1674,Adapter Description,editor_description,human_final_value,"REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS","REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",different,,minimal_vs_full_span,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.","Previous reviewed target (working): REGISCURIANI E SOCIET. JESU, Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",
P1_v6_mismatch_human_target,R0222,Antwerp_1645,Base Content,base_content,human_final_value,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM,span_contains,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM,
P1_v6_mismatch_human_target,R0021,Amsterdam_1616,Base Content Description,content_description,orig,"Van nieus oversien, ende verbetert",Van de beginselen ende fondamenten der Geometrie,different,"the second part is presented as an ""addition"" to the elements",span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Previous reviewed target (orig): Van nieus oversien, ende verbetert",
P1_v6_mismatch_human_target,R0036,Amsterdam_1618,Base Content Description,content_description,preferred_source_literal,Von den anfängen vnd fundamenten der Geometriæ,Von den anfängen vnd fundamenten der Geometriæ,exact_set,"Use another value (as specified) - do not include descriptions of Euclid as a person, only of the Elements.",span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,Previous reviewed target (custom_preferred_source): Von den anfängen vnd fundamenten der Geometriæ,
P1_v6_mismatch_human_target,R0224,Antwerp_1645,Bound With,bound_with,preferred_source_literal,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",HYPSICLEM | Recentiores de Corporibus Regularibus | PROCLI PROPOSITIONES GEO-METRICAS,target_contains,other value,prompt_choice_policy,"Which additional bound works should be captured, excluding the core Euclid title? Separate distinct works with semicolons.","Previous reviewed target (custom_preferred_source): ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",
P1_v6_mismatch_human_target,R0024,Amsterdam_1616,Edition Statement,edition_details,working,"Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus oversien, ende verbetert",target_contains,,prompt_choice_policy,"What is the exact edition/revision/enlargement statement, including coordinated wording only if part of the edition statement?","Previous reviewed target (working): Van nieus oversien, ende verbetert, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.",
P1_v6_mismatch_human_target,R0008,Alcala_1637,Elements Designation,elements_designation,orig,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES,exact_set,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): ELEMENTOS GEOMETRICOS DE EVCLIDES,
P1_v6_mismatch_human_target,R0151,Amsterdam_1695,Elements Designation,elements_designation,orig,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS BEGINSELEN der MEETKONST,exact_set,llm_overtrimmed,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): EUCLIDIS BEGINSELEN der MEETKONST,
P1_v6_mismatch_human_target,R1068,Leiden_1617,Elements Designation,elements_designation,orig,xv. Boucken der Elementen Euclidis,xv. Boucken der Elementen Euclidis,exact_set,,minimal_vs_full_span,"Should V7 keep the fuller core title/designation, or cut off an added/bound/enrichment/edition clause? Enter the exact preferred value.",Previous reviewed target (orig): xv. Boucken der Elementen Euclidis,
P1_v6_mismatch_human_target,R0009,Alcala_1637,Enriched With,enriched_with,human_final_value,comentado,,missing,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,Previous reviewed target (orig): comentado,
P1_v6_mismatch_human_target,R0042,Amsterdam_1618,Enriched With,enriched_with,orig,"mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales","angefüget seind: sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen | Per Demonstra-tiones Lineales",partial_overlap,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Previous reviewed target (orig): mancherley auss disen Büchern gezogene nutzbarkeiten, den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen, Per Demonstra-tiones Lineales",
P1_v6_mismatch_human_target,R0308,Arnhem_1605a,Euclid References,references_to_euclid,working,"EV-
CLIDIS","EV-
CLIDIS",exact_set,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?",Previous reviewed target (working): EV- CLIDIS,
P1_v6_mismatch_human_target,R0421,Basel_1550,Euclid References,references_to_euclid,working,"EVCLIDIS, Euclidis",EVCLIDIS Megarensis | Euclidis,partial_overlap,,minimal_vs_full_span,"What Euclid name reference(s) should be returned, preserving internal hyphenation/repeated forms when meaningful?","Previous reviewed target (working): EVCLIDIS, Euclidis",
P1_v6_mismatch_human_target,R0098,Amsterdam_1660,Explicit Language References,origin_language,working_final_value,Neerduyts,,missing,"it's a mistake, this string indeed does not appear in the sources",recall_missing_value,Which source/target language references are actually printed? Separate multiple values with semicolons.,No prior human target; please adjudicate from the candidates.,
P1_v6_mismatch_human_target,R0211,Ansbach_1610,Explicit Language References,origin_language,orig,"Griechischer, Hohe deutsche",Griechischer,target_contains,,minimal_vs_full_span,Which source/target language references are actually printed? Separate multiple values with semicolons.,"Previous reviewed target (orig): Griechischer, Hohe deutsche",
P1_v6_mismatch_human_target,R0875,Frankfurt_1674,Institutions,institutions,working,"SOC IETATIS JESU, Gymnasio Matheseos",SOCIETATIS JESU Gymnasio Matheseos,different,,minimal_vs_full_span,"What is the exact institution name, preserving printed internal spacing/punctuation if meaningful?","Previous reviewed target (working): SOC IETATIS JESU, Gymnasio Matheseos",
P1_v6_mismatch_human_target,R0028,Amsterdam_1616,Intended Audience,audience,working,"van alle leergierighe, lief
hebbers der selver vryer Conste","van alle leergierighe, liefhebbers der selver vryer Conste",different,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,"Previous reviewed target (working): van alle leergierighe, lief hebbers der selver vryer Conste",
P1_v6_mismatch_human_target,R0118,Amsterdam_1662,Intended Audience,audience,orig,Aencomelingen,,missing,,span_boundary_definition,What is the exact intended-audience phrase? Include purpose wording only if needed for meaning.,Previous reviewed target (orig): Aencomelingen,
P1_v6_mismatch_human_target,R0214,Ansbach_1610,Patronage Dedication,dedicatee_name,working,Hanss Philip Fuchss von Bimbach,"Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",span_contains,,span_boundary_definition,"Enter the exact value V7 should learn for this feature, or leave blank if no value should be returned.",Previous reviewed target (working): Hanss Philip Fuchss von Bimbach,
P1_v6_mismatch_human_target,R0120,Amsterdam_1662,Place in Imprint,location_in_imprint,working,AMSTERDAM,t’AMSTERDAM,span_contains,The human was mistaken in orig,imprint_scope_or_span,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.",Previous reviewed target (working): AMSTERDAM,
P1_v6_mismatch_human_target,R0346,Bamberg_1677,Place in Imprint,location_in_imprint,orig,"BAMBERGÆ, Franco-furtensis",BAMBERGÆ,target_contains,,imprint_scope_or_span,"Should V7 capture the full publication address? If multiple place/address values exist, separate them with semicolons.","Previous reviewed target (orig): BAMBERGÆ, Franco-furtensis",
P1_v6_mismatch_human_target,R0811,Ferrara_1628,Publisher in Imprint,publisher_in_imprint,orig,Franciscum Succium,Catharini Doini | Franciscum Succium Superiorum,span_contains,,imprint_scope_or_span,"What is the exact publisher/printer phrase, excluding place/date/address/privilege unless part of the name?",Previous reviewed target (orig): Franciscum Succium,
P1_v6_mismatch_human_target,R0031,Amsterdam_1616,Verbs,action_verbs,v5,"Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert,partial_overlap,only the verbs should be included,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (v5): Overgeset, verclaert, uytgeleyt, oversien, verbetert, verclaert, vermeerdert",
P1_v6_mismatch_human_target,R0051,Amsterdam_1618,Verbs,action_verbs,working,"verteutscht, angefüget",angefüget | verteutscht,target_contains,The human was mistaken in orig,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (working): verteutscht, angefüget",
P1_v6_mismatch_human_target,R0170,Amsterdam_1697,Verbs,action_verbs,orig,"COMPREND, REVUE, CORRIGÉE",REVUE | CORRIGÉE,target_contains,missed a verb,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): COMPREND, REVUE, CORRIGÉE",
P1_v6_mismatch_human_target,R0184,Amsterdam_1700,Verbs,action_verbs,orig,"EXPLIQUEZ, Reveuë, corrigée.",EXPLIQUEZ | Reveuë | corrigée,target_contains,missed a verb,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): EXPLIQUEZ, Reveuë, corrigée.",
P1_v6_mismatch_human_target,R0831,Florence_1690,Verbs,action_verbs,orig,"distesa, pubblicata",distesa | pubblicata,target_contains,,span_boundary_definition,Which action verbs/verbal expressions should V7 return? Include participles only when they function as action claims.,"Previous reviewed target (orig): distesa, pubblicata",
P1_new_policy_boundary,R0088,Amsterdam_1660,Adapter Attribution,editor_name,working_final_value,JACOB WILLEMSZ,JACOB WILLEMSZ. VERROOTEN,span_contains,,prompt_choice_policy,"Is any geographic phrase part of the family/name origin, or is it a role/affiliation descriptor? Enter the exact adapter name.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,
P1_new_policy_boundary,R0034,Amsterdam_1618,Adapter Description,editor_description,working_final_value,Dou,,missing,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,
P1_new_policy_boundary,R0070,Amsterdam_1634,Adapter Description,editor_description,working_final_value,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg,span_contains,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,
P1_new_policy_boundary,R0124,Amsterdam_1683,Adapter Description,editor_description,working_final_value,SOC. JESU Sacerdote & Matheseos Professore,SOC. JESU Sacerdote & Matheseos Professore,exact_set,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,
P1_new_policy_boundary,R0141,Amsterdam_1695,Adapter Description,editor_description,working_final_value,"VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.","Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz",target_contains,,prompt_choice_policy,"Which role/professional/geographic descriptor belongs here, excluding the adapter name? Enter the exact descriptor.",Use your new geography rule: name-origin stays in Attribution; institutional/professional setting goes to Description.,
P1_new_policy_boundary,R0057,Amsterdam_1626,Base Content Description,content_description,working_final_value,"eenighe nut-ticheden, byghevoechde nutticheden",Van de beginselen ende fondamenten der Geometrie,different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
P1_new_policy_boundary,R0072,Amsterdam_1634,Base Content Description,content_description,working_final_value,"Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg",Von den Anfängen vnd fundamenten der Geometriæ,different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
P1_new_policy_boundary,R0026,Amsterdam_1616,Enriched With,enriched_with,working_final_value,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren",partial_overlap,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
P1_new_policy_boundary,R0062,Amsterdam_1626,Enriched With,enriched_with,working_final_value,"Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
P1_new_policy_boundary,R0078,Amsterdam_1634,Enriched With,enriched_with,working_final_value,"Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten",Nutzbarkeiten angefüget | Speciebus in Geometrischen Figuren | Per Demonstra-tiones Lineales,partial_overlap,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
P1_new_policy_boundary,R0114,Amsterdam_1662,Enriched With,enriched_with,working_final_value,"een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien",Met korte verk-laringen eeniger Propositien | een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren,target_contains,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
P1_new_policy_boundary,R0195,Amsterdam_1700b,Enriched With,enriched_with,working_final_value,"Specien in Geometrische figuren, nuttigheden","by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen | Mitsgaders de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert",different,,span_boundary_definition,Does the title page frame this material as inherent core-content description or as added/supplementary enrichment? Enter the exact value and note the target feature if it should move.,"Use your new framing rule: core if inherent, Enriched With if added/supplementary.",
