edition_id,language,year,city,subject,final_value,final_source,final_reason,concerns,review_notes,review_error_type,Orig_Value,llm_Value_6,llm_Value_7,llm_Value_8
0NKS71,FRENCH,1568,Paris,Gnomonics & Horology,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
0NKS71,FRENCH,1568,Paris,Instrument Use,secondary,human_review,human reviewed override from diagnostic CSV,human-reviewed; prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
0NKS71,FRENCH,1568,Paris,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Instrument Use,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Practical Geometry,secondary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; differs-from-original-csv,,,unrelated,secondary,unrelated,unrelated
144JC3,ITALIAN,1586,Ferrara,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,review-sensitive-category,,,primary,primary,primary,primary
1496,LATIN,1496,,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
1496,LATIN,1496,,Music Theory,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
1496,LATIN,1496,,Theoretical Mathematics,secondary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,unrelated,unrelated,unrelated,secondary
2BRI1Z,ENGLISH,1598,Oxford,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,primary,unknown,unrelated,unrelated
2BRI1Z,ENGLISH,1598,Oxford,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,secondary,unknown,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Architecture,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
2I9HSY,FRENCH,1560,Paris,Perspective,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
2I9HSY,FRENCH,1560,Paris,Practical Geometry,unknown,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,prompt-disagreement; unknown-final; differs-from-original-csv,,,unrelated,unknown,unrelated,unrelated
4TJF1A,FRENCH,1557,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
4TJF1A,FRENCH,1557,Paris,Theoretical Mathematics,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,prompt-disagreement; review-sensitive-category; differs-from-original-csv,,,unrelated,secondary,unrelated,primary
5J1UUA,FRENCH,1573,Paris,Arithmetic,primary,llm_Value_8,category policy: V8 is the latest completed full run and was strongest or tied best on reviewed examples for this category,,,,primary,primary,primary,primary
5KCP5R,DUTCH,1553,Antwerp,Architecture,primary,llm_Value_6,category policy: V6 was strongest on reviewed examples for this category,,,,,primary,primary,primary
